task_number,task_score,restarted_mid_task
1,25.0713068915,0
1,20.2232485221,0
2,6.7703119384,0
3,31.6839451790,1
1,7.9511818951,0
2,31.6622379066,0
3,15.1055395603,1
1,25.7921194872,0
2,6.9050322682,0
3,29.8473966941,0
1,28.3982203131,0
2,6.0753315785,0
3,26.2211158276,1
1,8.0362474622,0
2,33.2441610649,0
3,19.0517098904,1
1,28.8938291073,1
1,12.2582146050,0
2,0.1657221478,0
3,18.2231981318,0
4,14.3757441969,0
5,14.4358998790,0
6,9.0538162263,0
1,23.9569940187,0
2,14.3611328602,1
1,20.0802995412,0
2,5.0429363612,0
3,22.1282565594,1
1,2.2086020836,0
2,4.9299071349,0
3,13.1594437898,0
4,2.2017542395,0
5,7.8644429901,0
6,29.2871056313,0
1,25.8524000645,1
1,16.0764328859,0
2,17.2039990425,1
1,4.0907898601,0
2,4.5990177431,0
3,30.3020001576,0
4,31.7853741646,1
1,22.4566533566,1
1,17.2915471453,0
2,18.9432481713,0
3,5.8145027161,1
1,9.7529478079,0
2,0.2664649034,0
3,31.7196600437,1
1,14.9312341171,0
2,14.7283168369,0
3,12.4612779297,0
4,18.5002963543,1
1,18.5921124215,0
2,17.5175921917,1
1,25.4860818197,0
2,12.0342493715,0
3,27.0567204952,1
1,9.4004904810,0
2,31.7608486031,0
3,11.0857071877,1
1,22.0778124332,1
1,24.8241527081,1
1,18.2041867448,0
2,4.7089143625,0
3,23.0920164585,1
1,26.5921208290,0
1,25.3462441626,0
2,16.0196035910,0
1,21.8491564549,0
2,11.3539702892,1
1,10.8625255542,0
2,10.9357198351,0
3,19.6270565330,0
4,13.1232583523,1
1,16.6136467418,0
2,5.6913203392,0
3,22.0096446840,0
4,13.0712943077,1
1,8.0068640849,0
2,28.4046664238,1
1,18.8375045086,0
2,16.1288895607,1
1,14.6733670235,1
1,13.2368366475,0
2,21.1793904305,1
1,8.4415574962,0
2,15.0831398295,0
3,6.3352741118,0
4,9.9850216537,0
5,8.9870395889,0
6,20.2840519518,0
1,15.8077338888,0
2,6.9433232856,0
3,18.2825576687,0
4,9.9502336979,1
1,18.1734973418,0
2,15.7131900787,1
1,22.6798921655,0
1,12.6911344078,0
2,5.3733217186,0
3,25.4640093359,0
4,8.7591522656,0
5,5.3286954213,0
6,14.8801963220,0
1,22.8657174110,1
1,19.4215040585,0
2,16.7324137688,1
1,20.1914631037,0
2,5.5936476792,0
3,12.5488360794,0
4,22.2495610685,0
1,12.5403749503,0
2,6.1506311260,0
3,19.7234916687,1
1,19.7436299218,0
2,27.1853270531,1
1,10.8268811006,0
2,15.5903949091,0
3,14.7033784389,1
1,11.2510851883,0
2,20.4449794292,1
1,7.8847603626,0
2,6.3297382180,0
3,22.3780508557,0
4,19.8365459324,0
5,11.6802344363,0
6,8.6117434502,1
1,17.6022634506,1
1,17.0728058034,0
2,21.2511713505,1
1,5.3356223288,0
2,25.4270167351,1
1,16.2353910049,0
2,13.3005065918,1
1,14.9108882922,0
2,16.2249569893,1
1,10.0424171879,0
2,4.5326914530,0
3,23.9924247265,1
1,16.5318183079,0
2,2.0286273559,0
3,22.5158107281,1
1,20.5854806900,1
1,21.5469632149,1
1,21.0755209923,1
1,17.8862378597,1
1,11.0018127522,0
2,19.8265957832,1
1,8.9965796579,0
2,21.9617235661,1
1,17.7372665405,1
1,13.6838182309,0
2,15.7871696949,1
1,2.5417379159,0
2,5.8074812517,0
3,30.2384207630,0
4,19.9493515491,1
1,21.1534070513,0
2,9.6593320370,1
1,15.8878419399,1
1,7.5136330092,0
2,5.2397608371,0
3,20.8890831470,1
1,16.1379361153,1
1,15.1980111311,0
2,12.8863692284,1
1,16.4589586258,1
1,16.3002870083,1
1,16.9939599037,1
1,0.2702379758,0
2,15.0189738420,0
3,20.6536059380,1
1,7.4444898688,0
2,2.6654660680,0
3,31.9147896767,1
1,10.9008900272,0
2,6.5479608764,0
3,20.4296393394,1
1,15.8785296807,0
2,16.9232418537,1
1,16.9280462265,1
1,18.5979044437,1
1,13.6377303774,0
2,12.5627031326,1
1,17.2237558365,1
1,16.3277833880,0
2,9.8194577694,1
1,15.9398540880,0
2,10.5978305340,1
1,13.1219738848,0
2,6.5877112577,0
3,5.2720240177,0
4,10.3865278277,0
5,8.9255768227,0
6,30.9392908169,0
1,14.6479053795,0
2,5.5761149124,0
3,4.5368297096,0
4,21.6923689842,1
1,18.4207627773,1
1,19.0460815430,1
1,16.7397694588,1
1,17.5168926716,1
1,16.9909551144,1
1,10.9696966483,0
2,15.8993489742,1
1,17.4021928310,1
1,16.7800226212,1
1,15.0625355244,1
1,16.5167355537,1
1,17.0761427879,1
1,17.7236356744,0
1,18.6182112694,1
1,18.4976248741,1
1,17.4998903275,1
1,17.6094975471,1
1,15.8530797958,1
1,13.5481382156,0
2,20.9121129513,1
1,16.4925355911,1
1,17.3479385376,1
1,16.3714485168,1
1,16.4213054180,1
1,2.3993361533,0
2,0.8053001226,0
3,32.4902851582,1
1,16.0313615799,1
1,11.4965173020,0
2,5.2226668454,0
3,8.6168660201,0
4,11.6300783323,0
5,17.4654778599,0
6,13.8415471281,0
1,16.4764051437,1
1,11.4125179010,0
2,3.6214479869,0
3,19.4501144324,0
4,12.9538056850,1
1,17.5610940456,1
1,10.7085044742,0
2,13.5576102734,1
1,4.3099409523,0
2,7.5545362035,0
3,12.5160092783,0
4,16.4672979934,0
5,10.3809731730,0
6,19.4952473070,0
1,12.8838769209,0
2,8.1359556824,0
3,18.0034403801,1
1,17.7357281567,0
2,3.6741131178,0
3,14.6998636723,1
1,15.8917266073,0
2,16.2598893642,1
1,14.9561655521,1
1,16.6227228642,1
1,5.4957818957,0
2,20.5417206287,1
1,17.1417224414,0
1,11.9631184765,0
2,14.1530427933,1
1,16.3888678551,1
1,12.1927936077,1
1,16.1365077496,1
1,12.7033226994,0
2,13.7110490799,1
1,16.3159554005,1
1,8.5412786238,0
2,6.7101674106,0
3,7.9937966304,0
4,27.7310328484,1
1,14.0746679306,1
1,7.3374252103,0
2,18.4133298397,1
1,17.2099277973,1
1,16.1952660084,1
1,15.9901850224,1
1,5.5963482883,0
2,1.0855744697,0
3,4.6724181096,0
4,44.6730988026,1
1,10.8536498897,0
2,25.4744230951,0
1,3.2659650382,0
2,12.9053232003,0
3,19.7407228947,1
1,16.9289295673,1
1,16.4888098240,1
1,16.4083092213,1
1,15.8117666245,1
1,16.3718540668,1
1,16.2112641335,1
1,16.5135998726,1
1,14.1565450810,0
1,17.0321149788,0
2,2.5494188277,0
3,10.8718843460,1
1,18.7465603352,1
1,9.0065798498,0
2,16.4795372486,1
1,16.1882836819,1
1,3.2651284513,0
2,16.3647629117,0
3,16.2708034515,1
1,2.5072949586,0
2,8.3797949645,0
3,24.7312273979,1
1,16.3598685265,1
1,15.9173641205,1
1,7.4220435217,0
2,4.0647333390,0
3,24.4711010456,1
1,1.6341694054,0
2,2.5226733099,0
3,31.9308893681,1
1,11.5236406174,0
2,13.4331972599,1
1,16.6531312466,1
1,16.6721727848,1
1,13.7860177874,0
2,5.4102151264,0
3,17.2671432495,1
1,8.1371807049,0
2,6.8628687168,0
3,6.7669820099,0
4,20.4474749146,0
5,22.7510872078,0
6,10.7792465687,1
1,17.2115693092,1
1,15.5609736443,1
1,16.2291569710,1
1,8.2506703566,0
2,17.1948982038,0
1,21.1946611404,1
1,13.8173656898,0
